"name","run.no.in.std.order","run.no","run.no.std.rp","size","overhead","temp","Blocks"
"1","96",1,"96.1","12","32","n",".1"
"2","99",2,"99.1","1","0","t",".1"
"3","19",3,"19.1","5","1","n",".1"
"4","42",4,"42.1","14","2","n",".1"
"5","120",5,"120.1","8","1","t",".1"
"6","174",6,"174.1","6","16","t",".1"
"7","131",7,"131.1","5","2","t",".1"
"8","47",8,"47.1","5","4","n",".1"
"9","113",9,"113.1","1","1","t",".1"
"10","53",10,"53.1","11","4","n",".1"
"11","3",11,"3.1","3","0","n",".1"
"12","50",12,"50.1","8","4","n",".1"
"13","176",13,"176.1","8","16","t",".1"
"14","34",14,"34.1","6","2","n",".1"
"15","105",15,"105.1","7","0","t",".1"
"16","39",16,"39.1","11","2","n",".1"
"17","177",17,"177.1","9","16","t",".1"
"18","157",18,"157.1","3","8","t",".1"
"19","158",19,"158.1","4","8","t",".1"
"20","103",20,"103.1","5","0","t",".1"
"21","146",21,"146.1","6","4","t",".1"
"22","68",22,"68.1","12","8","n",".1"
"23","112",23,"112.1","14","0","t",".1"
"24","154",24,"154.1","14","4","t",".1"
"25","21",25,"21.1","7","1","n",".1"
"26","4",26,"4.1","4","0","n",".1"
"27","117",27,"117.1","5","1","t",".1"
"28","85",28,"85.1","1","32","n",".1"
"29","102",29,"102.1","4","0","t",".1"
"30","190",30,"190.1","8","32","t",".1"
"31","51",31,"51.1","9","4","n",".1"
"32","66",32,"66.1","10","8","n",".1"
"33","162",33,"162.1","8","8","t",".1"
"34","108",34,"108.1","10","0","t",".1"
"35","20",35,"20.1","6","1","n",".1"
"36","122",36,"122.1","10","1","t",".1"
"37","128",37,"128.1","2","2","t",".1"
"38","188",38,"188.1","6","32","t",".1"
"39","91",39,"91.1","7","32","n",".1"
"40","60",40,"60.1","4","8","n",".1"
"41","134",41,"134.1","8","2","t",".1"
"42","175",42,"175.1","7","16","t",".1"
"43","118",43,"118.1","6","1","t",".1"
"44","127",44,"127.1","1","2","t",".1"
"45","195",45,"195.1","13","32","t",".1"
"46","77",46,"77.1","7","16","n",".1"
"47","79",47,"79.1","9","16","n",".1"
"48","15",48,"15.1","1","1","n",".1"
"49","62",49,"62.1","6","8","n",".1"
"50","139",50,"139.1","13","2","t",".1"
"51","138",51,"138.1","12","2","t",".1"
"52","167",52,"167.1","13","8","t",".1"
"53","104",53,"104.1","6","0","t",".1"
"54","107",54,"107.1","9","0","t",".1"
"55","67",55,"67.1","11","8","n",".1"
"56","73",56,"73.1","3","16","n",".1"
"57","95",57,"95.1","11","32","n",".1"
"58","80",58,"80.1","10","16","n",".1"
"59","7",59,"7.1","7","0","n",".1"
"60","180",60,"180.1","12","16","t",".1"
"61","121",61,"121.1","9","1","t",".1"
"62","110",62,"110.1","12","0","t",".1"
"63","31",63,"31.1","3","2","n",".1"
"64","94",64,"94.1","10","32","n",".1"
"65","173",65,"173.1","5","16","t",".1"
"66","161",66,"161.1","7","8","t",".1"
"67","2",67,"2.1","2","0","n",".1"
"68","59",68,"59.1","3","8","n",".1"
"69","72",69,"72.1","2","16","n",".1"
"70","48",70,"48.1","6","4","n",".1"
"71","93",71,"93.1","9","32","n",".1"
"72","24",72,"24.1","10","1","n",".1"
"73","1",73,"1.1","1","0","n",".1"
"74","13",74,"13.1","13","0","n",".1"
"75","125",75,"125.1","13","1","t",".1"
"76","124",76,"124.1","12","1","t",".1"
"77","187",77,"187.1","5","32","t",".1"
"78","165",78,"165.1","11","8","t",".1"
"79","143",79,"143.1","3","4","t",".1"
"80","168",80,"168.1","14","8","t",".1"
"81","69",81,"69.1","13","8","n",".1"
"82","75",82,"75.1","5","16","n",".1"
"83","10",83,"10.1","10","0","n",".1"
"84","83",84,"83.1","13","16","n",".1"
"85","12",85,"12.1","12","0","n",".1"
"86","97",86,"97.1","13","32","n",".1"
"87","44",87,"44.1","2","4","n",".1"
"88","101",88,"101.1","3","0","t",".1"
"89","18",89,"18.1","4","1","n",".1"
"90","26",90,"26.1","12","1","n",".1"
"91","49",91,"49.1","7","4","n",".1"
"92","133",92,"133.1","7","2","t",".1"
"93","41",93,"41.1","13","2","n",".1"
"94","8",94,"8.1","8","0","n",".1"
"95","185",95,"185.1","3","32","t",".1"
"96","144",96,"144.1","4","4","t",".1"
"97","56",97,"56.1","14","4","n",".1"
"98","25",98,"25.1","11","1","n",".1"
"99","88",99,"88.1","4","32","n",".1"
"100","9",100,"9.1","9","0","n",".1"
"101","70",101,"70.1","14","8","n",".1"
"102","58",102,"58.1","2","8","n",".1"
"103","30",103,"30.1","2","2","n",".1"
"104","149",104,"149.1","9","4","t",".1"
"105","150",105,"150.1","10","4","t",".1"
"106","46",106,"46.1","4","4","n",".1"
"107","171",107,"171.1","3","16","t",".1"
"108","14",108,"14.1","14","0","n",".1"
"109","186",109,"186.1","4","32","t",".1"
"110","115",110,"115.1","3","1","t",".1"
"111","116",111,"116.1","4","1","t",".1"
"112","11",112,"11.1","11","0","n",".1"
"113","55",113,"55.1","13","4","n",".1"
"114","151",114,"151.1","11","4","t",".1"
"115","141",115,"141.1","1","4","t",".1"
"116","181",116,"181.1","13","16","t",".1"
"117","6",117,"6.1","6","0","n",".1"
"118","43",118,"43.1","1","4","n",".1"
"119","63",119,"63.1","7","8","n",".1"
"120","90",120,"90.1","6","32","n",".1"
"121","163",121,"163.1","9","8","t",".1"
"122","45",122,"45.1","3","4","n",".1"
"123","159",123,"159.1","5","8","t",".1"
"124","106",124,"106.1","8","0","t",".1"
"125","64",125,"64.1","8","8","n",".1"
"126","119",126,"119.1","7","1","t",".1"
"127","35",127,"35.1","7","2","n",".1"
"128","78",128,"78.1","8","16","n",".1"
"129","179",129,"179.1","11","16","t",".1"
"130","82",130,"82.1","12","16","n",".1"
"131","170",131,"170.1","2","16","t",".1"
"132","37",132,"37.1","9","2","n",".1"
"133","54",133,"54.1","12","4","n",".1"
"134","148",134,"148.1","8","4","t",".1"
"135","100",135,"100.1","2","0","t",".1"
"136","166",136,"166.1","12","8","t",".1"
"137","160",137,"160.1","6","8","t",".1"
"138","145",138,"145.1","5","4","t",".1"
"139","98",139,"98.1","14","32","n",".1"
"140","111",140,"111.1","13","0","t",".1"
"141","109",141,"109.1","11","0","t",".1"
"142","28",142,"28.1","14","1","n",".1"
"143","178",143,"178.1","10","16","t",".1"
"144","32",144,"32.1","4","2","n",".1"
"145","5",145,"5.1","5","0","n",".1"
"146","16",146,"16.1","2","1","n",".1"
"147","156",147,"156.1","2","8","t",".1"
"148","23",148,"23.1","9","1","n",".1"
"149","84",149,"84.1","14","16","n",".1"
"150","38",150,"38.1","10","2","n",".1"
"151","89",151,"89.1","5","32","n",".1"
"152","136",152,"136.1","10","2","t",".1"
"153","155",153,"155.1","1","8","t",".1"
"154","130",154,"130.1","4","2","t",".1"
"155","71",155,"71.1","1","16","n",".1"
"156","193",156,"193.1","11","32","t",".1"
"157","169",157,"169.1","1","16","t",".1"
"158","40",158,"40.1","12","2","n",".1"
"159","153",159,"153.1","13","4","t",".1"
"160","126",160,"126.1","14","1","t",".1"
"161","135",161,"135.1","9","2","t",".1"
"162","76",162,"76.1","6","16","n",".1"
"163","123",163,"123.1","11","1","t",".1"
"164","114",164,"114.1","2","1","t",".1"
"165","29",165,"29.1","1","2","n",".1"
"166","137",166,"137.1","11","2","t",".1"
"167","142",167,"142.1","2","4","t",".1"
"168","183",168,"183.1","1","32","t",".1"
"169","92",169,"92.1","8","32","n",".1"
"170","129",170,"129.1","3","2","t",".1"
"171","147",171,"147.1","7","4","t",".1"
"172","17",172,"17.1","3","1","n",".1"
"173","22",173,"22.1","8","1","n",".1"
"174","27",174,"27.1","13","1","n",".1"
"175","52",175,"52.1","10","4","n",".1"
"176","192",176,"192.1","10","32","t",".1"
"177","65",177,"65.1","9","8","n",".1"
"178","86",178,"86.1","2","32","n",".1"
"179","189",179,"189.1","7","32","t",".1"
"180","132",180,"132.1","6","2","t",".1"
"181","81",181,"81.1","11","16","n",".1"
"182","184",182,"184.1","2","32","t",".1"
"183","194",183,"194.1","12","32","t",".1"
"184","140",184,"140.1","14","2","t",".1"
"185","33",185,"33.1","5","2","n",".1"
"186","57",186,"57.1","1","8","n",".1"
"187","164",187,"164.1","10","8","t",".1"
"188","87",188,"87.1","3","32","n",".1"
"189","191",189,"191.1","9","32","t",".1"
"190","196",190,"196.1","14","32","t",".1"
"191","182",191,"182.1","14","16","t",".1"
"192","152",192,"152.1","12","4","t",".1"
"193","36",193,"36.1","8","2","n",".1"
"194","61",194,"61.1","5","8","n",".1"
"195","74",195,"74.1","4","16","n",".1"
"196","172",196,"172.1","4","16","t",".1"
"197","110",197,"110.2","12","0","t",".2"
"198","105",198,"105.2","7","0","t",".2"
"199","129",199,"129.2","3","2","t",".2"
"200","52",200,"52.2","10","4","n",".2"
"201","7",201,"7.2","7","0","n",".2"
"202","182",202,"182.2","14","16","t",".2"
"203","118",203,"118.2","6","1","t",".2"
"204","4",204,"4.2","4","0","n",".2"
"205","2",205,"2.2","2","0","n",".2"
"206","130",206,"130.2","4","2","t",".2"
"207","153",207,"153.2","13","4","t",".2"
"208","179",208,"179.2","11","16","t",".2"
"209","21",209,"21.2","7","1","n",".2"
"210","64",210,"64.2","8","8","n",".2"
"211","195",211,"195.2","13","32","t",".2"
"212","58",212,"58.2","2","8","n",".2"
"213","123",213,"123.2","11","1","t",".2"
"214","13",214,"13.2","13","0","n",".2"
"215","36",215,"36.2","8","2","n",".2"
"216","60",216,"60.2","4","8","n",".2"
"217","171",217,"171.2","3","16","t",".2"
"218","169",218,"169.2","1","16","t",".2"
"219","173",219,"173.2","5","16","t",".2"
"220","131",220,"131.2","5","2","t",".2"
"221","74",221,"74.2","4","16","n",".2"
"222","187",222,"187.2","5","32","t",".2"
"223","184",223,"184.2","2","32","t",".2"
"224","100",224,"100.2","2","0","t",".2"
"225","42",225,"42.2","14","2","n",".2"
"226","112",226,"112.2","14","0","t",".2"
"227","34",227,"34.2","6","2","n",".2"
"228","11",228,"11.2","11","0","n",".2"
"229","140",229,"140.2","14","2","t",".2"
"230","134",230,"134.2","8","2","t",".2"
"231","143",231,"143.2","3","4","t",".2"
"232","108",232,"108.2","10","0","t",".2"
"233","49",233,"49.2","7","4","n",".2"
"234","166",234,"166.2","12","8","t",".2"
"235","102",235,"102.2","4","0","t",".2"
"236","96",236,"96.2","12","32","n",".2"
"237","193",237,"193.2","11","32","t",".2"
"238","23",238,"23.2","9","1","n",".2"
"239","135",239,"135.2","9","2","t",".2"
"240","35",240,"35.2","7","2","n",".2"
"241","99",241,"99.2","1","0","t",".2"
"242","25",242,"25.2","11","1","n",".2"
"243","122",243,"122.2","10","1","t",".2"
"244","116",244,"116.2","4","1","t",".2"
"245","145",245,"145.2","5","4","t",".2"
"246","75",246,"75.2","5","16","n",".2"
"247","162",247,"162.2","8","8","t",".2"
"248","148",248,"148.2","8","4","t",".2"
"249","149",249,"149.2","9","4","t",".2"
"250","84",250,"84.2","14","16","n",".2"
"251","47",251,"47.2","5","4","n",".2"
"252","39",252,"39.2","11","2","n",".2"
"253","176",253,"176.2","8","16","t",".2"
"254","92",254,"92.2","8","32","n",".2"
"255","50",255,"50.2","8","4","n",".2"
"256","76",256,"76.2","6","16","n",".2"
"257","144",257,"144.2","4","4","t",".2"
"258","141",258,"141.2","1","4","t",".2"
"259","161",259,"161.2","7","8","t",".2"
"260","28",260,"28.2","14","1","n",".2"
"261","80",261,"80.2","10","16","n",".2"
"262","55",262,"55.2","13","4","n",".2"
"263","70",263,"70.2","14","8","n",".2"
"264","56",264,"56.2","14","4","n",".2"
"265","94",265,"94.2","10","32","n",".2"
"266","168",266,"168.2","14","8","t",".2"
"267","71",267,"71.2","1","16","n",".2"
"268","89",268,"89.2","5","32","n",".2"
"269","88",269,"88.2","4","32","n",".2"
"270","72",270,"72.2","2","16","n",".2"
"271","83",271,"83.2","13","16","n",".2"
"272","54",272,"54.2","12","4","n",".2"
"273","137",273,"137.2","11","2","t",".2"
"274","121",274,"121.2","9","1","t",".2"
"275","40",275,"40.2","12","2","n",".2"
"276","191",276,"191.2","9","32","t",".2"
"277","78",277,"78.2","8","16","n",".2"
"278","185",278,"185.2","3","32","t",".2"
"279","136",279,"136.2","10","2","t",".2"
"280","188",280,"188.2","6","32","t",".2"
"281","170",281,"170.2","2","16","t",".2"
"282","114",282,"114.2","2","1","t",".2"
"283","103",283,"103.2","5","0","t",".2"
"284","69",284,"69.2","13","8","n",".2"
"285","177",285,"177.2","9","16","t",".2"
"286","16",286,"16.2","2","1","n",".2"
"287","190",287,"190.2","8","32","t",".2"
"288","41",288,"41.2","13","2","n",".2"
"289","172",289,"172.2","4","16","t",".2"
"290","20",290,"20.2","6","1","n",".2"
"291","98",291,"98.2","14","32","n",".2"
"292","152",292,"152.2","12","4","t",".2"
"293","57",293,"57.2","1","8","n",".2"
"294","66",294,"66.2","10","8","n",".2"
"295","37",295,"37.2","9","2","n",".2"
"296","119",296,"119.2","7","1","t",".2"
"297","167",297,"167.2","13","8","t",".2"
"298","109",298,"109.2","11","0","t",".2"
"299","132",299,"132.2","6","2","t",".2"
"300","61",300,"61.2","5","8","n",".2"
"301","9",301,"9.2","9","0","n",".2"
"302","120",302,"120.2","8","1","t",".2"
"303","12",303,"12.2","12","0","n",".2"
"304","155",304,"155.2","1","8","t",".2"
"305","77",305,"77.2","7","16","n",".2"
"306","22",306,"22.2","8","1","n",".2"
"307","1",307,"1.2","1","0","n",".2"
"308","146",308,"146.2","6","4","t",".2"
"309","26",309,"26.2","12","1","n",".2"
"310","106",310,"106.2","8","0","t",".2"
"311","38",311,"38.2","10","2","n",".2"
"312","180",312,"180.2","12","16","t",".2"
"313","111",313,"111.2","13","0","t",".2"
"314","154",314,"154.2","14","4","t",".2"
"315","68",315,"68.2","12","8","n",".2"
"316","29",316,"29.2","1","2","n",".2"
"317","15",317,"15.2","1","1","n",".2"
"318","31",318,"31.2","3","2","n",".2"
"319","67",319,"67.2","11","8","n",".2"
"320","24",320,"24.2","10","1","n",".2"
"321","157",321,"157.2","3","8","t",".2"
"322","117",322,"117.2","5","1","t",".2"
"323","81",323,"81.2","11","16","n",".2"
"324","174",324,"174.2","6","16","t",".2"
"325","85",325,"85.2","1","32","n",".2"
"326","8",326,"8.2","8","0","n",".2"
"327","95",327,"95.2","11","32","n",".2"
"328","6",328,"6.2","6","0","n",".2"
"329","175",329,"175.2","7","16","t",".2"
"330","3",330,"3.2","3","0","n",".2"
"331","125",331,"125.2","13","1","t",".2"
"332","19",332,"19.2","5","1","n",".2"
"333","127",333,"127.2","1","2","t",".2"
"334","189",334,"189.2","7","32","t",".2"
"335","33",335,"33.2","5","2","n",".2"
"336","142",336,"142.2","2","4","t",".2"
"337","194",337,"194.2","12","32","t",".2"
"338","124",338,"124.2","12","1","t",".2"
"339","158",339,"158.2","4","8","t",".2"
"340","79",340,"79.2","9","16","n",".2"
"341","91",341,"91.2","7","32","n",".2"
"342","97",342,"97.2","13","32","n",".2"
"343","160",343,"160.2","6","8","t",".2"
"344","18",344,"18.2","4","1","n",".2"
"345","139",345,"139.2","13","2","t",".2"
"346","48",346,"48.2","6","4","n",".2"
"347","101",347,"101.2","3","0","t",".2"
"348","147",348,"147.2","7","4","t",".2"
"349","192",349,"192.2","10","32","t",".2"
"350","59",350,"59.2","3","8","n",".2"
"351","126",351,"126.2","14","1","t",".2"
"352","165",352,"165.2","11","8","t",".2"
"353","186",353,"186.2","4","32","t",".2"
"354","10",354,"10.2","10","0","n",".2"
"355","113",355,"113.2","1","1","t",".2"
"356","138",356,"138.2","12","2","t",".2"
"357","151",357,"151.2","11","4","t",".2"
"358","65",358,"65.2","9","8","n",".2"
"359","90",359,"90.2","6","32","n",".2"
"360","51",360,"51.2","9","4","n",".2"
"361","82",361,"82.2","12","16","n",".2"
"362","43",362,"43.2","1","4","n",".2"
"363","27",363,"27.2","13","1","n",".2"
"364","159",364,"159.2","5","8","t",".2"
"365","150",365,"150.2","10","4","t",".2"
"366","17",366,"17.2","3","1","n",".2"
"367","63",367,"63.2","7","8","n",".2"
"368","156",368,"156.2","2","8","t",".2"
"369","163",369,"163.2","9","8","t",".2"
"370","44",370,"44.2","2","4","n",".2"
"371","93",371,"93.2","9","32","n",".2"
"372","5",372,"5.2","5","0","n",".2"
"373","14",373,"14.2","14","0","n",".2"
"374","104",374,"104.2","6","0","t",".2"
"375","196",375,"196.2","14","32","t",".2"
"376","32",376,"32.2","4","2","n",".2"
"377","133",377,"133.2","7","2","t",".2"
"378","87",378,"87.2","3","32","n",".2"
"379","73",379,"73.2","3","16","n",".2"
"380","183",380,"183.2","1","32","t",".2"
"381","62",381,"62.2","6","8","n",".2"
"382","86",382,"86.2","2","32","n",".2"
"383","45",383,"45.2","3","4","n",".2"
"384","181",384,"181.2","13","16","t",".2"
"385","107",385,"107.2","9","0","t",".2"
"386","115",386,"115.2","3","1","t",".2"
"387","164",387,"164.2","10","8","t",".2"
"388","178",388,"178.2","10","16","t",".2"
"389","128",389,"128.2","2","2","t",".2"
"390","53",390,"53.2","11","4","n",".2"
"391","46",391,"46.2","4","4","n",".2"
"392","30",392,"30.2","2","2","n",".2"
"393","195",393,"195.3","13","32","t",".3"
"394","146",394,"146.3","6","4","t",".3"
"395","172",395,"172.3","4","16","t",".3"
"396","20",396,"20.3","6","1","n",".3"
"397","173",397,"173.3","5","16","t",".3"
"398","94",398,"94.3","10","32","n",".3"
"399","148",399,"148.3","8","4","t",".3"
"400","88",400,"88.3","4","32","n",".3"
"401","181",401,"181.3","13","16","t",".3"
"402","11",402,"11.3","11","0","n",".3"
"403","117",403,"117.3","5","1","t",".3"
"404","157",404,"157.3","3","8","t",".3"
"405","122",405,"122.3","10","1","t",".3"
"406","9",406,"9.3","9","0","n",".3"
"407","93",407,"93.3","9","32","n",".3"
"408","76",408,"76.3","6","16","n",".3"
"409","116",409,"116.3","4","1","t",".3"
"410","6",410,"6.3","6","0","n",".3"
"411","35",411,"35.3","7","2","n",".3"
"412","27",412,"27.3","13","1","n",".3"
"413","101",413,"101.3","3","0","t",".3"
"414","54",414,"54.3","12","4","n",".3"
"415","162",415,"162.3","8","8","t",".3"
"416","70",416,"70.3","14","8","n",".3"
"417","74",417,"74.3","4","16","n",".3"
"418","69",418,"69.3","13","8","n",".3"
"419","32",419,"32.3","4","2","n",".3"
"420","1",420,"1.3","1","0","n",".3"
"421","155",421,"155.3","1","8","t",".3"
"422","127",422,"127.3","1","2","t",".3"
"423","167",423,"167.3","13","8","t",".3"
"424","40",424,"40.3","12","2","n",".3"
"425","59",425,"59.3","3","8","n",".3"
"426","153",426,"153.3","13","4","t",".3"
"427","190",427,"190.3","8","32","t",".3"
"428","103",428,"103.3","5","0","t",".3"
"429","192",429,"192.3","10","32","t",".3"
"430","82",430,"82.3","12","16","n",".3"
"431","12",431,"12.3","12","0","n",".3"
"432","107",432,"107.3","9","0","t",".3"
"433","14",433,"14.3","14","0","n",".3"
"434","53",434,"53.3","11","4","n",".3"
"435","149",435,"149.3","9","4","t",".3"
"436","150",436,"150.3","10","4","t",".3"
"437","152",437,"152.3","12","4","t",".3"
"438","48",438,"48.3","6","4","n",".3"
"439","163",439,"163.3","9","8","t",".3"
"440","89",440,"89.3","5","32","n",".3"
"441","75",441,"75.3","5","16","n",".3"
"442","115",442,"115.3","3","1","t",".3"
"443","120",443,"120.3","8","1","t",".3"
"444","111",444,"111.3","13","0","t",".3"
"445","159",445,"159.3","5","8","t",".3"
"446","110",446,"110.3","12","0","t",".3"
"447","124",447,"124.3","12","1","t",".3"
"448","188",448,"188.3","6","32","t",".3"
"449","180",449,"180.3","12","16","t",".3"
"450","100",450,"100.3","2","0","t",".3"
"451","123",451,"123.3","11","1","t",".3"
"452","121",452,"121.3","9","1","t",".3"
"453","95",453,"95.3","11","32","n",".3"
"454","164",454,"164.3","10","8","t",".3"
"455","92",455,"92.3","8","32","n",".3"
"456","15",456,"15.3","1","1","n",".3"
"457","118",457,"118.3","6","1","t",".3"
"458","147",458,"147.3","7","4","t",".3"
"459","2",459,"2.3","2","0","n",".3"
"460","144",460,"144.3","4","4","t",".3"
"461","63",461,"63.3","7","8","n",".3"
"462","7",462,"7.3","7","0","n",".3"
"463","58",463,"58.3","2","8","n",".3"
"464","129",464,"129.3","3","2","t",".3"
"465","37",465,"37.3","9","2","n",".3"
"466","112",466,"112.3","14","0","t",".3"
"467","114",467,"114.3","2","1","t",".3"
"468","28",468,"28.3","14","1","n",".3"
"469","91",469,"91.3","7","32","n",".3"
